1773407569.021048 server started (23994): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1773407569.021069 on Darwin 25.3.0 Darwin Kernel Version 25.3.0: Wed Jan 28 20:54:46 PST 2026; root:xnu-12377.91.3~2/RELEASE_ARM64_T6000
1773407569.021074 using libevent 2.1.12-stable select
1773407569.021081 using utf8proc 2.11.3
1773407569.021085 using ncurses 6.5 20240427
1773407569.021348 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1773407569.021351 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1773407569.021354 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1773407569.021358 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1773407569.021361 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1773407569.021364 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1773407569.021371 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1773407569.021374 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1773407569.021377 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1773407569.021380 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1773407569.021382 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1773407569.021385 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1773407569.021387 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1773407569.021390 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1773407569.021392 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1773407569.021395 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1773407569.021397 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1773407569.021399 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1773407569.021402 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1773407569.021405 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1773407569.021407 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1773407569.021410 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1773407569.021412 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1773407569.021414 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1773407569.021417 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1773407569.021419 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1773407569.021422 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1773407569.021425 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1773407569.021427 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1773407569.021430 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1773407569.021432 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1773407569.021434 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1773407569.021437 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1773407569.021439 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1773407569.021442 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1773407569.021444 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1773407569.021447 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1773407569.021449 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1773407569.021452 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1773407569.021454 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1773407569.021457 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1773407569.021459 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1773407569.021462 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1773407569.021464 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1773407569.021467 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1773407569.021469 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1773407569.021472 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1773407569.021474 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1773407569.021477 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1773407569.021479 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1773407569.021482 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1773407569.021484 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1773407569.021486 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1773407569.021489 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1773407569.021491 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1773407569.021494 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1773407569.021497 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1773407569.021499 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1773407569.021502 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1773407569.021504 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1773407569.021507 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1773407569.021509 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1773407569.021515 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1773407569.021518 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1773407569.021520 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1773407569.021523 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1773407569.021525 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1773407569.021528 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1773407569.021530 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1773407569.021533 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1773407569.021535 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1773407569.021538 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1773407569.021540 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1773407569.021543 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1773407569.021545 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1773407569.021548 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1773407569.021551 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1773407569.021553 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1773407569.021556 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1773407569.021558 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1773407569.021560 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1773407569.021563 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1773407569.021565 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1773407569.021568 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1773407569.021570 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1773407569.021573 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1773407569.021575 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1773407569.021578 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1773407569.021580 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1773407569.021583 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1773407569.021586 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1773407569.021588 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1773407569.021590 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1773407569.021593 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1773407569.021595 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1773407569.021598 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1773407569.021600 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1773407569.021603 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1773407569.021605 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1773407569.021608 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1773407569.021610 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1773407569.021613 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1773407569.021615 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1773407569.021618 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1773407569.021620 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1773407569.021623 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1773407569.021625 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1773407569.021628 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1773407569.021630 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1773407569.021633 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1773407569.021635 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1773407569.021638 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1773407569.021640 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1773407569.021643 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1773407569.021645 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1773407569.021648 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1773407569.021650 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1773407569.021656 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1773407569.021658 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1773407569.021661 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1773407569.021663 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1773407569.021666 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1773407569.021668 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1773407569.021670 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1773407569.021673 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1773407569.021675 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1773407569.021678 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1773407569.021680 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1773407569.021683 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1773407569.021685 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1773407569.021688 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1773407569.021690 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1773407569.021693 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1773407569.021695 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1773407569.021698 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1773407569.021700 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1773407569.021703 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1773407569.021705 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1773407569.021708 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1773407569.021710 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1773407569.021713 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1773407569.021715 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1773407569.021717 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1773407569.021720 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1773407569.021722 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1773407569.021725 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1773407569.021727 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1773407569.021730 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1773407569.021732 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1773407569.021734 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1773407569.021737 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1773407569.021739 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1773407569.021742 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1773407569.021744 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1773407569.021747 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1773407569.021749 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1773407569.021752 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1773407569.021754 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1773407569.021756 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1773407569.021759 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1773407569.021761 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1773407569.021764 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1773407569.021767 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1773407569.021769 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1773407569.021772 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1773407569.021793 yylex_token: end at WS
1773407569.021796 yylex_token: bind
1773407569.021799 yylex_token: end at WS
1773407569.021801 yylex_token: -N
1773407569.021805 yylex_token: end at WS
1773407569.021807 yylex_token: Send the prefix key
1773407569.021810 yylex_token: end at WS
1773407569.021812 yylex_token: C-b
1773407569.021816 yylex_token: end at WS
1773407569.021824 yylex_token: send-prefix
1773407569.021828 cmd_parse_build_commands 0:0: bind
1773407569.021832 cmd_parse_build_commands 0:1: -N
1773407569.021835 cmd_parse_build_commands 0:2: Send the prefix key
1773407569.021838 cmd_parse_build_commands 0:3: C-b
1773407569.021841 cmd_parse_build_commands 0:4 0:0: send-prefix
1773407569.021849 cmd_parse_build_commands 0:0: send-prefix
1773407569.021855 args_parse: flags end at 1 of 1
1773407569.021859 cmd_parse_build_commands: send-prefix
1773407569.021862 args_parse_flags: next -N
1773407569.021866 args_parse_flag_argument: -N = Send the prefix key
1773407569.021869 args_parse_flags: next C-b
1773407569.021872 args_parse: flags end at 3 of 5
1773407569.021875 args_parse: 3 = C-b (type STRING)
1773407569.021880 args_parse: 4 = send-prefix (type COMMANDS)
1773407569.021888 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1773407569.021902 cmdq_get_command: [bind-key/0x104981470] group 6
1773407569.021905 cmdq_append <global>: [bind-key/0x104981470]
1773407569.021909 yylex_token: end at WS
1773407569.021912 yylex_token: bind
1773407569.021916 yylex_token: end at WS
1773407569.021919 yylex_token: -N
1773407569.021923 yylex_token: end at WS
1773407569.021926 yylex_token: Rotate through the panes
1773407569.021929 yylex_token: end at WS
1773407569.021932 yylex_token: C-o
1773407569.021937 yylex_token: end at WS
1773407569.021939 yylex_token: rotate-window
1773407569.021943 cmd_parse_build_commands 0:0: bind
1773407569.021946 cmd_parse_build_commands 0:1: -N
1773407569.021949 cmd_parse_build_commands 0:2: Rotate through the panes
1773407569.021952 cmd_parse_build_commands 0:3: C-o
1773407569.021956 cmd_parse_build_commands 0:4 0:0: rotate-window
1773407569.021960 cmd_parse_build_commands 0:0: rotate-window
1773407569.021965 args_parse: flags end at 1 of 1
1773407569.021969 cmd_parse_build_commands: rotate-window
1773407569.021972 args_parse_flags: next -N
1773407569.021975 args_parse_flag_argument: -N = Rotate through the panes
1773407569.021978 args_parse_flags: next C-o
1773407569.021981 args_parse: flags end at 3 of 5
1773407569.021985 args_parse: 3 = C-o (type STRING)
1773407569.021989 args_parse: 4 = rotate-window (type COMMANDS)
1773407569.021995 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1773407569.021999 cmdq_get_command: [bind-key/0x104983700] group 14
1773407569.022002 cmdq_append <global>: [bind-key/0x104983700]
1773407569.022006 yylex_token: end at WS
1773407569.022009 yylex_token: bind
1773407569.022013 yylex_token: end at WS
1773407569.022015 yylex_token: -N
1773407569.022019 yylex_token: end at WS
1773407569.022023 yylex_token: Suspend the current client
1773407569.022026 yylex_token: end at WS
1773407569.022029 yylex_token: C-z
1773407569.022033 yylex_token: end at WS
1773407569.022036 yylex_token: suspend-client
1773407569.022040 cmd_parse_build_commands 0:0: bind
1773407569.022043 cmd_parse_build_commands 0:1: -N
1773407569.022046 cmd_parse_build_commands 0:2: Suspend the current client
1773407569.022049 cmd_parse_build_commands 0:3: C-z
1773407569.022053 cmd_parse_build_commands 0:4 0:0: suspend-client
1773407569.022057 cmd_parse_build_commands 0:0: suspend-client
1773407569.022061 args_parse: flags end at 1 of 1
1773407569.022065 cmd_parse_build_commands: suspend-client
1773407569.022068 args_parse_flags: next -N
1773407569.022071 args_parse_flag_argument: -N = Suspend the current client
1773407569.022074 args_parse_flags: next C-z
1773407569.022077 args_parse: flags end at 3 of 5
1773407569.022080 args_parse: 3 = C-z (type STRING)
1773407569.022084 args_parse: 4 = suspend-client (type COMMANDS)
1773407569.022090 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1773407569.022094 cmdq_get_command: [bind-key/0x1049838c0] group 22
1773407569.022098 cmdq_append <global>: [bind-key/0x1049838c0]
1773407569.022101 yylex_token: end at WS
1773407569.022104 yylex_token: bind
1773407569.022108 yylex_token: end at WS
1773407569.022115 yylex_token: -N
1773407569.022119 yylex_token: end at WS
1773407569.022123 yylex_token: Select next layout
1773407569.022128 yylex_token: end at WS
1773407569.022132 yylex_token: Space
1773407569.022135 yylex_token: end at WS
1773407569.022139 yylex_token: next-layout
1773407569.022143 cmd_parse_build_commands 0:0: bind
1773407569.022147 cmd_parse_build_commands 0:1: -N
1773407569.022150 cmd_parse_build_commands 0:2: Select next layout
1773407569.022153 cmd_parse_build_commands 0:3: Space
1773407569.022157 cmd_parse_build_commands 0:4 0:0: next-layout
1773407569.022161 cmd_parse_build_commands 0:0: next-layout
1773407569.022165 args_parse: flags end at 1 of 1
1773407569.022169 cmd_parse_build_commands: next-layout
1773407569.022172 args_parse_flags: next -N
1773407569.022175 args_parse_flag_argument: -N = Select next layout
1773407569.022178 args_parse_flags: next Space
1773407569.022181 args_parse: flags end at 3 of 5
1773407569.022185 args_parse: 3 = Space (type STRING)
1773407569.022188 args_parse: 4 = next-layout (type COMMANDS)
1773407569.022194 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1773407569.022198 cmdq_get_command: [bind-key/0x104983c10] group 30
1773407569.022202 cmdq_append <global>: [bind-key/0x104983c10]
1773407569.022206 yylex_token: end at WS
1773407569.022209 yylex_token: bind
1773407569.022213 yylex_token: end at WS
1773407569.022217 yylex_token: -N
1773407569.022222 yylex_token: end at WS
1773407569.022226 yylex_token: Break pane to a new window
1773407569.022229 yylex_token: end at WS
1773407569.022233 yylex_token: !
1773407569.022237 yylex_token: end at WS
1773407569.022240 yylex_token: break-pane
1773407569.022244 cmd_parse_build_commands 0:0: bind
1773407569.022247 cmd_parse_build_commands 0:1: -N
1773407569.022250 cmd_parse_build_commands 0:2: Break pane to a new window
1773407569.022253 cmd_parse_build_commands 0:3: !
1773407569.022257 cmd_parse_build_commands 0:4 0:0: break-pane
1773407569.022260 cmd_parse_build_commands 0:0: break-pane
1773407569.022264 args_parse: flags end at 1 of 1
1773407569.022268 cmd_parse_build_commands: break-pane
1773407569.022271 args_parse_flags: next -N
1773407569.022274 args_parse_flag_argument: -N = Break pane to a new window
1773407569.022277 args_parse_flags: next !
1773407569.022280 args_parse: flags end at 3 of 5
1773407569.022284 args_parse: 3 = ! (type STRING)
1773407569.022287 args_parse: 4 = break-pane (type COMMANDS)
1773407569.022296 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1773407569.022300 cmdq_get_command: [bind-key/0x104983fb0] group 38
1773407569.022304 cmdq_append <global>: [bind-key/0x104983fb0]
1773407569.022307 yylex_token: end at WS
1773407569.022310 yylex_token: bind
1773407569.022313 yylex_token: end at WS
1773407569.022316 yylex_token: -N
1773407569.022320 yylex_token: end at WS
1773407569.022324 yylex_token: Split window vertically
1773407569.022327 yylex_token: end at WS
1773407569.022330 yylex_token: "
1773407569.022334 yylex_token: end at WS
1773407569.022339 yylex_token: split-window
1773407569.022343 cmd_parse_build_commands 0:0: bind
1773407569.022346 cmd_parse_build_commands 0:1: -N
1773407569.022350 cmd_parse_build_commands 0:2: Split window vertically
1773407569.022353 cmd_parse_build_commands 0:3: "
1773407569.022356 cmd_parse_build_commands 0:4 0:0: split-window
1773407569.022360 cmd_parse_build_commands 0:0: split-window
1773407569.022365 args_parse: flags end at 1 of 1
1773407569.022368 cmd_parse_build_commands: split-window
1773407569.022371 args_parse_flags: next -N
1773407569.022375 args_parse_flag_argument: -N = Split window vertically
1773407569.022378 args_parse_flags: next "
1773407569.022382 args_parse: flags end at 3 of 5
1773407569.022386 args_parse: 3 = " (type STRING)
1773407569.022389 args_parse: 4 = split-window (type COMMANDS)
1773407569.022396 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1773407569.022399 cmdq_get_command: [bind-key/0x104984250] group 46
1773407569.022402 cmdq_append <global>: [bind-key/0x104984250]
1773407569.022410 yylex_token: end at WS
1773407569.022413 yylex_token: bind
1773407569.022417 yylex_token: end at WS
1773407569.022420 yylex_token: -N
1773407569.022424 yylex_token: end at WS
1773407569.022427 yylex_token: List all paste buffers
1773407569.022430 yylex_token: end at WS
1773407569.022434 yylex_token: #
1773407569.022437 yylex_token: end at WS
1773407569.022440 yylex_token: list-buffers
1773407569.022444 cmd_parse_build_commands 0:0: bind
1773407569.022447 cmd_parse_build_commands 0:1: -N
1773407569.022450 cmd_parse_build_commands 0:2: List all paste buffers
1773407569.022454 cmd_parse_build_commands 0:3: #
1773407569.022457 cmd_parse_build_commands 0:4 0:0: list-buffers
1773407569.022461 cmd_parse_build_commands 0:0: list-buffers
1773407569.022464 args_parse: flags end at 1 of 1
1773407569.022468 cmd_parse_build_commands: list-buffers
1773407569.022472 args_parse_flags: next -N
1773407569.022475 args_parse_flag_argument: -N = List all paste buffers
1773407569.022478 args_parse_flags: next #
1773407569.022482 args_parse: flags end at 3 of 5
1773407569.022485 args_parse: 3 = # (type STRING)
1773407569.022489 args_parse: 4 = list-buffers (type COMMANDS)
1773407569.022495 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1773407569.022501 cmdq_get_command: [bind-key/0x99d81c000] group 54
1773407569.022505 cmdq_append <global>: [bind-key/0x99d81c000]
1773407569.022508 yylex_token: end at WS
1773407569.022511 yylex_token: bind
1773407569.022514 yylex_token: end at WS
1773407569.022517 yylex_token: -N
1773407569.022521 yylex_token: end at WS
1773407569.022524 yylex_token: Rename current session
1773407569.022528 yylex_token: end at WS
1773407569.022531 yylex_token: $
1773407569.022535 yylex_token: end at WS
1773407569.022539 yylex_token: command-prompt
1773407569.022542 yylex_token: end at WS
1773407569.022545 yylex_token: -I#S
1773407569.022549 yylex_token: end at WS
1773407569.022553 yylex_token: rename-session
1773407569.022556 yylex_token: end at WS
1773407569.022560 yylex_token: --
1773407569.022563 yylex_token: end at WS
1773407569.022566 yylex_token: %%
